平台,大区,用户名,充值时间,性别,充值金额
QQ,5,Cf17ZZFZXm,1610268278116,man,18
微信,31,AWPXCZL2fP,1635432853918,man,55
QQ,83,acY6J8o3SN,1624254675950,man,60
微信,89,dyAnIEQRNh,1611901167244,man,350
微信,54,Pk91vKPDhQ,1609810520639,man,90
QQ,6,zxJyRcDn5x,1616288431667,man,529
QQ,59,B4eMCyJT0s,1629930168555,man,402
QQ,36,9yz6RGirxc,1611960150231,man,430
QQ,52,I7Ymo7eecX,1630285823940,man,273
QQ,77,tcLwUDp8a3,1630065957934,man,10
微信,39,F5Dd0uhYYL,1640685330005,man,467
QQ,37,KFS7atE7IU,1630276437644,man,144
微信,23,h8sZV5mv48,1628741599036,man,561
QQ,71,U4oDKPg6Ki,1616923510839,man,399
微信,91,ykvwqqe4ak,1640493641005,man,359
微信,31,fKfGtCUP4t,1609539235646,man,39
QQ,64,A92Y1GSWwO,1623237315207,man,232
微信,93,HaGvFmmQbO,1621408813748,man,355
QQ,77,27gRcZEpIK,1610207604476,man,283
微信,65,frdKzYmj48,1614263975747,man,544
QQ,23,JUSTqwhbuL,1614635382151,man,622
QQ,8,QCCMvQQmVs,1638474888735,man,43
QQ,89,XnfJzUHYNd,1614768310322,man,409
微信,78,HyvtnzdNG4,1616932105264,man,636
微信,32,FHXwelFotm,1627377689188,man,413
QQ,24,VqKCx69jVK,1640845033373,man,444
微信,93,BVxVPqaLNP,1610334740511,man,157
QQ,11,v5eSteHWaT,1635047798651,man,114
微信,28,2yquVGS4hd,1624966978055,man,631
QQ,60,kibgYrnSxY,1640025312780,man,69
QQ,32,n1de5gtZdf,1614002008686,man,262
QQ,40,jmo8C8o0Ss,1633847773482,man,238
微信,90,72OGMeQ47g,1631404244756,man,377
QQ,67,fPPvsrxMD7,1609610744933,man,602
微信,11,xBgmsAiKgs,1625221723493,man,632
QQ,27,GhzImmGT1w,1626436394538,man,254
QQ,44,Cx55uk62NE,1640853357096,man,449
QQ,40,Cd2atdCLOw,1611991374237,man,299
微信,43,0kx38gQnmo,1610465651259,man,332
微信,14,Z1P6vhLEju,1622602263181,man,442
QQ,30,JPumjVokr8,1631016066681,man,28
微信,40,E3oExYax1K,1625976417214,man,391
微信,65,rt9XyZpRfa,1618269883893,man,519
QQ,29,C5KYn3v30P,1621568467703,man,389
QQ,37,iQcFabJyZm,1625152619169,man,555
QQ,14,buCngGjXUQ,1621426670390,man,550
